1,Bread,38
2,Milk,36
3,Butter,40
22407,eDJ16olnfJ,11
22408,9qMVgfWUTr,44
22409,BXwgCuIl4f,33
22410,aLt4Pops42,9
22411,K9vHHAHGop,25
22412,EkFZMzpUqi,5
22413,W3qysovNdp,22
22414,PdbEDBebEO,8
22415,KB8tggKDRM,39
22416,a6dhPqQE0N,45
22417,imGZzvvmRF,16
22418,wPFCBjPfXQ,3
22419,m1BRVbbkJr,40
22420,dNdnnODQj2,13
22421,npF8gBTbzb,28
22422,vjkcEhBtb0,13
22423,DSwdsydrOq,44
22424,UKNO4Bo0dI,7
22425,mjgQDO5qVR,45
22426,VnMmFfFS7g,50
22427,si8Mgv3yu3,31
22428,gEN8wUDKru,13
22429,usBrsaUdSh,7
22430,BWmBODIhwu,21
22431,wuOitkIBcK,22
22432,804vk0bYMY,17
22433,msa2fSUn4I,25
22434,NkqTDi1Pdv,41
22435,iFqGToCnai,28
22436,aQ4DmFfovV,50
22437,p1KFhc5FgS,42
22438,h8kFMt7ybn,48
22439,LMhCs9AGse,25
22440,cl8NbjEwfY,12
22441,JmyQPbE5H2,14
22442,48SvVnmCzu,34
22443,xMuQ8gmcNV,16
22444,LkJmZMI6NO,11
22445,oIsStgCUCe,40
22446,WXHxgwR6tv,27
22447,IWpRPjso8K,32
22448,4HPa1QTu23,7
22449,ybBxuSpTf2,40
22450,8Vx0ynIMCt,1
22451,zczuCmZPrj,50
22452,SgacLEagbc,43
22453,yJxb3O8evM,14
22454,lCCo3NBGQG,26
22455,6bXV6whMC0,35
22456,If0LHhmQep,41
22457,TNt3zzW2E5,49
22458,n3HTVDzyGh,30
22459,8mdYv2R4n8,17
22460,fsCbW07z3z,40
22461,CnTOKLd7yh,23
22462,76CYcN66iX,29
22463,jXLE7oCEwa,1
22464,rdRSuJwN59,43
22465,2SR1OTlH3y,14
22466,o6CxfF58DM,25
22467,velGOkEmfD,27
22468,izvuGctnga,31
22469,vZFJbiMyE0,34
22470,FgZnSAZyB6,14
22471,zQBtlQYxvL,29
22472,aT0u3VHLjT,36
22473,1KMY0ngrtY,21
22474,dckhVcpcMc,21
22475,cArdDRihuK,9
22476,Vt7UqhZ6UU,49
22477,WHL7v1HUuB,32
22478,dHb2hik7vA,5
22479,dXtjlvUTo0,50
22480,87S6xHzLx5,43
22481,EniAlHGycX,18
22482,fggZDbhJ86,48
22483,ybojfgRRQn,18
22484,Yunv5YOvyH,7
22485,MUPmqHVliM,7
22486,HndsPvQ4WQ,17
22487,aQROlkehc0,30
22488,JeQEpSWUTM,48
22489,RJPKUyNzvv,36
22490,9lZRtTO2RT,31
22491,44s3b3kcxy,12
22492,i5zGBuGDpa,23
22493,zDoVfMW0eQ,20
22494,8yi7U28O8C,11
22495,8XkEJ89P7H,36
22496,3D6ZQUqguF,25
22497,hrE4ro1Uvy,26
22498,yIKDBzkqFW,50
22499,ysu7NURvb4,46
22500,v34LrN4CFO,15
22501,2WZFcUyoKk,3
22502,zobQX4XZpC,10
22503,dtc6OCW4U7,8
22504,Ozst6jQ3SN,11
22505,TR7FnuUS8A,17
22506,l1Kkl3rm81,43
22507,npuMQlj1sK,3
22508,8HxRtsa5tV,11
22509,us75QD9lYd,45
22510,2Tpp3QhZLp,48
22511,US8Uiojq5n,50
22512,2trWQJ6TOo,43
22513,NIzj3ALhZ2,36
22514,rt2X5GQtvP,31
22515,SoibTrv0qB,16
22516,mQICzyRG5f,35
22517,DqzTrIp8Nb,30
22518,2OPPMLVNfy,34
22519,MG215rBt1P,34
22520,crtPhToIG7,27
22521,U8eq0AEHta,20
22522,era43s78jl,28
22523,np77PvrbeW,21
22524,qSlY0ddVNr,36
22525,8I4mcPzKZO,11
22526,18eYXGSbS9,5
22527,NIkjtk9rKO,35
22528,zi7uegq9qa,5
22529,VLRfWcZbHX,42
22530,koG3Z4XH5f,49
22531,wnxFRwMKBu,39
22532,mUpj2yiN4i,40
22533,QGoLG1z2XY,23
22534,06SY3WuVaN,41
22535,fm1PyZK63P,48
22536,FVfRS8Ee00,18
22537,mszWhf8Afc,18
22538,HkHB1vohy6,15
22539,XR8dL4erQ0,42
22540,I8yYPozzFD,19
22541,ZDRJ5kk8xO,31
