ID Income Limit Rating Cards Age Education Sex Student Married Balance Caucasian Asian
1.0 14.891 3606.0 283.0 2.0 34.0 11.0 0.0 0.0 1.0 333.0 1.0 0.0
2.0 106.025 6645.0 483.0 3.0 82.0 15.0 1.0 1.0 1.0 903.0 0.0 1.0
3.0 104.593 7075.0 514.0 4.0 71.0 11.0 0.0 0.0 0.0 580.0 0.0 1.0
4.0 148.924 9504.0 681.0 3.0 36.0 11.0 1.0 0.0 0.0 964.0 0.0 1.0
5.0 55.882 4897.0 357.0 2.0 68.0 16.0 0.0 0.0 1.0 331.0 1.0 0.0
6.0 80.18 8047.0 569.0 4.0 77.0 10.0 0.0 0.0 0.0 1151.0 1.0 0.0
7.0 20.996 3388.0 259.0 2.0 37.0 12.0 1.0 0.0 0.0 203.0 0.0 0.0
8.0 71.408 7114.0 512.0 2.0 87.0 9.0 0.0 0.0 0.0 872.0 0.0 1.0
9.0 15.125 3300.0 266.0 5.0 66.0 13.0 1.0 0.0 0.0 279.0 1.0 0.0
10.0 71.061 6819.0 491.0 3.0 41.0 19.0 1.0 1.0 1.0 1350.0 0.0 0.0
11.0 63.095 8117.0 589.0 4.0 30.0 14.0 0.0 0.0 1.0 1407.0 1.0 0.0
12.0 15.045 1311.0 138.0 3.0 64.0 16.0 0.0 0.0 0.0 0.0 1.0 0.0
13.0 80.616 5308.0 394.0 1.0 57.0 7.0 1.0 0.0 1.0 204.0 0.0 1.0
14.0 43.682 6922.0 511.0 1.0 49.0 9.0 0.0 0.0 1.0 1081.0 1.0 0.0
15.0 19.144 3291.0 269.0 2.0 75.0 13.0 1.0 0.0 0.0 148.0 0.0 0.0
16.0 20.089 2525.0 200.0 3.0 57.0 15.0 1.0 0.0 1.0 0.0 0.0 0.0
17.0 53.598 3714.0 286.0 3.0 73.0 17.0 1.0 0.0 1.0 0.0 0.0 0.0
18.0 36.496 4378.0 339.0 3.0 69.0 15.0 1.0 0.0 1.0 368.0 0.0 1.0
19.0 49.57 6384.0 448.0 1.0 28.0 9.0 1.0 0.0 1.0 891.0 0.0 1.0
20.0 42.079 6626.0 479.0 2.0 44.0 9.0 0.0 0.0 0.0 1048.0 0.0 1.0
21.0 17.7 2860.0 235.0 4.0 63.0 16.0 1.0 0.0 0.0 89.0 0.0 1.0
22.0 37.348 6378.0 458.0 1.0 72.0 17.0 1.0 0.0 0.0 968.0 1.0 0.0
23.0 20.103 2631.0 213.0 3.0 61.0 10.0 0.0 0.0 1.0 0.0 0.0 0.0
24.0 64.027 5179.0 398.0 5.0 48.0 8.0 0.0 0.0 1.0 411.0 0.0 0.0
25.0 10.742 1757.0 156.0 3.0 57.0 15.0 1.0 0.0 0.0 0.0 1.0 0.0
26.0 14.09 4323.0 326.0 5.0 25.0 16.0 1.0 0.0 1.0 671.0 0.0 0.0
27.0 42.471 3625.0 289.0 6.0 44.0 12.0 1.0 1.0 0.0 654.0 1.0 0.0
28.0 32.793 4534.0 333.0 2.0 44.0 16.0 0.0 0.0 0.0 467.0 0.0 0.0
29.0 186.634 13414.0 949.0 2.0 41.0 14.0 1.0 0.0 1.0 1809.0 0.0 0.0
30.0 26.813 5611.0 411.0 4.0 55.0 16.0 1.0 0.0 0.0 915.0 1.0 0.0
31.0 34.142 5666.0 413.0 4.0 47.0 5.0 1.0 0.0 1.0 863.0 1.0 0.0
32.0 28.941 2733.0 210.0 5.0 43.0 16.0 0.0 0.0 1.0 0.0 0.0 1.0
33.0 134.181 7838.0 563.0 2.0 48.0 13.0 1.0 0.0 0.0 526.0 1.0 0.0
34.0 31.367 1829.0 162.0 4.0 30.0 10.0 0.0 0.0 1.0 0.0 1.0 0.0
35.0 20.15 2646.0 199.0 2.0 25.0 14.0 1.0 0.0 1.0 0.0 0.0 1.0
36.0 23.35 2558.0 220.0 3.0 49.0 12.0 1.0 1.0 0.0 419.0 1.0 0.0
37.0 62.413 6457.0 455.0 2.0 71.0 11.0 1.0 0.0 1.0 762.0 1.0 0.0
38.0 30.007 6481.0 462.0 2.0 69.0 9.0 1.0 0.0 1.0 1093.0 1.0 0.0
39.0 11.795 3899.0 300.0 4.0 25.0 10.0 1.0 0.0 0.0 531.0 1.0 0.0
40.0 13.647 3461.0 264.0 4.0 47.0 14.0 0.0 0.0 1.0 344.0 1.0 0.0
41.0 34.95 3327.0 253.0 3.0 54.0 14.0 1.0 0.0 0.0 50.0 0.0 0.0
42.0 113.659 7659.0 538.0 2.0 66.0 15.0 0.0 1.0 1.0 1155.0 0.0 0.0
43.0 44.158 4763.0 351.0 2.0 66.0 13.0 1.0 0.0 1.0 385.0 0.0 1.0
44.0 36.929 6257.0 445.0 1.0 24.0 14.0 1.0 0.0 1.0 976.0 0.0 1.0
45.0 31.861 6375.0 469.0 3.0 25.0 16.0 1.0 0.0 1.0 1120.0 1.0 0.0
46.0 77.38 7569.0 564.0 3.0 50.0 12.0 1.0 0.0 1.0 997.0 1.0 0.0
47.0 19.531 5043.0 376.0 2.0 64.0 16.0 1.0 1.0 1.0 1241.0 0.0 1.0
48.0 44.646 4431.0 320.0 2.0 49.0 15.0 0.0 1.0 1.0 797.0 1.0 0.0
49.0 44.522 2252.0 205.0 6.0 72.0 15.0 0.0 0.0 1.0 0.0 0.0 1.0
50.0 43.479 4569.0 354.0 4.0 49.0 13.0 0.0 1.0 1.0 902.0 0.0 0.0
51.0 36.362 5183.0 376.0 3.0 49.0 15.0 0.0 0.0 1.0 654.0 0.0 0.0
52.0 39.705 3969.0 301.0 2.0 27.0 20.0 0.0 0.0 1.0 211.0 0.0 0.0
53.0 44.205 5441.0 394.0 1.0 32.0 12.0 0.0 0.0 1.0 607.0 1.0 0.0
54.0 16.304 5466.0 413.0 4.0 66.0 10.0 0.0 0.0 1.0 957.0 0.0 1.0
55.0 15.333 1499.0 138.0 2.0 47.0 9.0 1.0 0.0 1.0 0.0 0.0 1.0
56.0 32.916 1786.0 154.0 2.0 60.0 8.0 1.0 0.0 1.0 0.0 0.0 1.0
57.0 57.1 4742.0 372.0 7.0 79.0 18.0 1.0 0.0 1.0 379.0 0.0 1.0
58.0 76.273 4779.0 367.0 4.0 65.0 14.0 1.0 0.0 1.0 133.0 1.0 0.0
59.0 10.354 3480.0 281.0 2.0 70.0 17.0 0.0 0.0 1.0 333.0 1.0 0.0
60.0 51.872 5294.0 390.0 4.0 81.0 17.0 1.0 0.0 0.0 531.0 1.0 0.0
61.0 35.51 5198.0 364.0 2.0 35.0 20.0 1.0 0.0 0.0 631.0 0.0 1.0
62.0 21.238 3089.0 254.0 3.0 59.0 10.0 1.0 0.0 0.0 108.0 1.0 0.0
63.0 30.682 1671.0 160.0 2.0 77.0 7.0 1.0 0.0 0.0 0.0 1.0 0.0
64.0 14.132 2998.0 251.0 4.0 75.0 17.0 0.0 0.0 0.0 133.0 1.0 0.0
65.0 32.164 2937.0 223.0 2.0 79.0 15.0 1.0 0.0 1.0 0.0 0.0 0.0
66.0 12.0 4160.0 320.0 4.0 28.0 14.0 1.0 0.0 1.0 602.0 1.0 0.0
67.0 113.829 9704.0 694.0 4.0 38.0 13.0 1.0 0.0 1.0 1388.0 0.0 1.0
68.0 11.187 5099.0 380.0 4.0 69.0 16.0 1.0 0.0 0.0 889.0 0.0 0.0
69.0 27.847 5619.0 418.0 2.0 78.0 15.0 1.0 0.0 1.0 822.0 1.0 0.0
70.0 49.502 6819.0 505.0 4.0 55.0 14.0 0.0 0.0 1.0 1084.0 1.0 0.0
71.0 24.889 3954.0 318.0 4.0 75.0 12.0 0.0 0.0 1.0 357.0 1.0 0.0
72.0 58.781 7402.0 538.0 2.0 81.0 12.0 1.0 0.0 1.0 1103.0 0.0 1.0
73.0 22.939 4923.0 355.0 1.0 47.0 18.0 1.0 0.0 1.0 663.0 0.0 1.0
74.0 23.989 4523.0 338.0 4.0 31.0 15.0 0.0 0.0 0.0 601.0 1.0 0.0
75.0 16.103 5390.0 418.0 4.0 45.0 10.0 1.0 0.0 1.0 945.0 1.0 0.0
76.0 33.017 3180.0 224.0 2.0 28.0 16.0 0.0 0.0 1.0 29.0 0.0 0.0
77.0 30.622 3293.0 251.0 1.0 68.0 16.0 0.0 1.0 0.0 532.0 1.0 0.0
78.0 20.936 3254.0 253.0 1.0 30.0 15.0 1.0 0.0 0.0 145.0 0.0 1.0
79.0 110.968 6662.0 468.0 3.0 45.0 11.0 1.0 0.0 1.0 391.0 1.0 0.0
80.0 15.354 2101.0 171.0 2.0 65.0 14.0 0.0 0.0 0.0 0.0 0.0 1.0
81.0 27.369 3449.0 288.0 3.0 40.0 9.0 1.0 0.0 1.0 162.0 1.0 0.0
82.0 53.48 4263.0 317.0 1.0 83.0 15.0 0.0 0.0 0.0 99.0 1.0 0.0
83.0 23.672 4433.0 344.0 3.0 63.0 11.0 0.0 0.0 0.0 503.0 1.0 0.0
84.0 19.225 1433.0 122.0 3.0 38.0 14.0 1.0 0.0 0.0 0.0 1.0 0.0
85.0 43.54 2906.0 232.0 4.0 69.0 11.0 0.0 0.0 0.0 0.0 1.0 0.0
86.0 152.298 12066.0 828.0 4.0 41.0 12.0 1.0 0.0 1.0 1779.0 0.0 1.0
87.0 55.367 6340.0 448.0 1.0 33.0 15.0 0.0 0.0 1.0 815.0 1.0 0.0
88.0 11.741 2271.0 182.0 4.0 59.0 12.0 1.0 0.0 0.0 0.0 0.0 1.0
89.0 15.56 4307.0 352.0 4.0 57.0 8.0 0.0 0.0 1.0 579.0 0.0 0.0
90.0 59.53 7518.0 543.0 3.0 52.0 9.0 1.0 0.0 0.0 1176.0 0.0 0.0
91.0 20.191 5767.0 431.0 4.0 42.0 16.0 0.0 0.0 1.0 1023.0 0.0 0.0
92.0 48.498 6040.0 456.0 3.0 47.0 16.0 0.0 0.0 1.0 812.0 1.0 0.0
93.0 30.733 2832.0 249.0 4.0 51.0 13.0 0.0 0.0 0.0 0.0 1.0 0.0
94.0 16.479 5435.0 388.0 2.0 26.0 16.0 0.0 0.0 0.0 937.0 0.0 0.0
95.0 38.009 3075.0 245.0 3.0 45.0 15.0 1.0 0.0 0.0 0.0 0.0 0.0
96.0 14.084 855.0 120.0 5.0 46.0 17.0 1.0 0.0 1.0 0.0 0.0 0.0
97.0 14.312 5382.0 367.0 1.0 59.0 17.0 0.0 1.0 0.0 1380.0 0.0 1.0
98.0 26.067 3388.0 266.0 4.0 74.0 17.0 1.0 0.0 1.0 155.0 0.0 0.0
99.0 36.295 2963.0 241.0 2.0 68.0 14.0 1.0 1.0 0.0 375.0 0.0 0.0
100.0 83.851 8494.0 607.0 5.0 47.0 18.0 0.0 0.0 0.0 1311.0 1.0 0.0
101.0 21.153 3736.0 256.0 1.0 41.0 11.0 0.0 0.0 0.0 298.0 1.0 0.0
102.0 17.976 2433.0 190.0 3.0 70.0 16.0 1.0 1.0 0.0 431.0 1.0 0.0
103.0 68.713 7582.0 531.0 2.0 56.0 16.0 0.0 1.0 0.0 1587.0 1.0 0.0
104.0 146.183 9540.0 682.0 6.0 66.0 15.0 0.0 0.0 0.0 1050.0 1.0 0.0
105.0 15.846 4768.0 365.0 4.0 53.0 12.0 1.0 0.0 0.0 745.0 1.0 0.0
106.0 12.031 3182.0 259.0 2.0 58.0 18.0 1.0 0.0 1.0 210.0 1.0 0.0
107.0 16.819 1337.0 115.0 2.0 74.0 15.0 0.0 0.0 1.0 0.0 0.0 1.0
108.0 39.11 3189.0 263.0 3.0 72.0 12.0 0.0 0.0 0.0 0.0 0.0 1.0
109.0 107.986 6033.0 449.0 4.0 64.0 14.0 0.0 0.0 1.0 227.0 1.0 0.0
110.0 13.561 3261.0 279.0 5.0 37.0 19.0 0.0 0.0 1.0 297.0 0.0 1.0
111.0 34.537 3271.0 250.0 3.0 57.0 17.0 1.0 0.0 1.0 47.0 0.0 1.0
112.0 28.575 2959.0 231.0 2.0 60.0 11.0 1.0 0.0 0.0 0.0 0.0 0.0
113.0 46.007 6637.0 491.0 4.0 42.0 14.0 0.0 0.0 1.0 1046.0 1.0 0.0
114.0 69.251 6386.0 474.0 4.0 30.0 12.0 1.0 0.0 1.0 768.0 0.0 1.0
115.0 16.482 3326.0 268.0 4.0 41.0 15.0 0.0 0.0 0.0 271.0 1.0 0.0
116.0 40.442 4828.0 369.0 5.0 81.0 8.0 1.0 0.0 0.0 510.0 0.0 0.0
117.0 35.177 2117.0 186.0 3.0 62.0 16.0 1.0 0.0 0.0 0.0 1.0 0.0
118.0 91.362 9113.0 626.0 1.0 47.0 17.0 0.0 0.0 1.0 1341.0 0.0 1.0
119.0 27.039 2161.0 173.0 3.0 40.0 17.0 1.0 0.0 0.0 0.0 1.0 0.0
120.0 23.012 1410.0 137.0 3.0 81.0 16.0 0.0 0.0 0.0 0.0 1.0 0.0
121.0 27.241 1402.0 128.0 2.0 67.0 15.0 1.0 0.0 1.0 0.0 0.0 1.0
122.0 148.08 8157.0 599.0 2.0 83.0 13.0 0.0 0.0 1.0 454.0 1.0 0.0
123.0 62.602 7056.0 481.0 1.0 84.0 11.0 1.0 0.0 0.0 904.0 1.0 0.0
124.0 11.808 1300.0 117.0 3.0 77.0 14.0 1.0 0.0 0.0 0.0 0.0 0.0
125.0 29.564 2529.0 192.0 1.0 30.0 12.0 1.0 0.0 1.0 0.0 1.0 0.0
126.0 27.578 2531.0 195.0 1.0 34.0 15.0 1.0 0.0 1.0 0.0 1.0 0.0
127.0 26.427 5533.0 433.0 5.0 50.0 15.0 1.0 1.0 1.0 1404.0 0.0 1.0
128.0 57.202 3411.0 259.0 3.0 72.0 11.0 1.0 0.0 0.0 0.0 1.0 0.0
129.0 123.299 8376.0 610.0 2.0 89.0 17.0 0.0 1.0 0.0 1259.0 0.0 0.0
130.0 18.145 3461.0 279.0 3.0 56.0 15.0 0.0 0.0 1.0 255.0 0.0 0.0
131.0 23.793 3821.0 281.0 4.0 56.0 12.0 1.0 1.0 1.0 868.0 0.0 0.0
132.0 10.726 1568.0 162.0 5.0 46.0 19.0 0.0 0.0 1.0 0.0 0.0 1.0
133.0 23.283 5443.0 407.0 4.0 49.0 13.0 0.0 0.0 1.0 912.0 0.0 0.0
134.0 21.455 5829.0 427.0 4.0 80.0 12.0 1.0 0.0 1.0 1018.0 0.0 0.0
135.0 34.664 5835.0 452.0 3.0 77.0 15.0 1.0 0.0 1.0 835.0 0.0 0.0
136.0 44.473 3500.0 257.0 3.0 81.0 16.0 1.0 0.0 0.0 8.0 0.0 0.0
137.0 54.663 4116.0 314.0 2.0 70.0 8.0 1.0 0.0 0.0 75.0 0.0 0.0
138.0 36.355 3613.0 278.0 4.0 35.0 9.0 0.0 0.0 1.0 187.0 0.0 1.0
139.0 21.374 2073.0 175.0 2.0 74.0 11.0 1.0 0.0 1.0 0.0 1.0 0.0
140.0 107.841 10384.0 728.0 3.0 87.0 7.0 0.0 0.0 0.0 1597.0 0.0 0.0
141.0 39.831 6045.0 459.0 3.0 32.0 12.0 1.0 1.0 1.0 1425.0 0.0 0.0
142.0 91.876 6754.0 483.0 2.0 33.0 10.0 0.0 0.0 1.0 605.0 1.0 0.0
143.0 103.893 7416.0 549.0 3.0 84.0 17.0 0.0 0.0 0.0 669.0 0.0 1.0
144.0 19.636 4896.0 387.0 3.0 64.0 10.0 1.0 0.0 0.0 710.0 0.0 0.0
145.0 17.392 2748.0 228.0 3.0 32.0 14.0 0.0 0.0 1.0 68.0 1.0 0.0
146.0 19.529 4673.0 341.0 2.0 51.0 14.0 0.0 0.0 0.0 642.0 0.0 1.0
147.0 17.055 5110.0 371.0 3.0 55.0 15.0 1.0 0.0 1.0 805.0 1.0 0.0
148.0 23.857 1501.0 150.0 3.0 56.0 16.0 0.0 0.0 1.0 0.0 1.0 0.0
149.0 15.184 2420.0 192.0 2.0 69.0 11.0 1.0 0.0 1.0 0.0 1.0 0.0
150.0 13.444 886.0 121.0 5.0 44.0 10.0 0.0 0.0 1.0 0.0 0.0 1.0
151.0 63.931 5728.0 435.0 3.0 28.0 14.0 1.0 0.0 1.0 581.0 0.0 0.0
152.0 35.864 4831.0 353.0 3.0 66.0 13.0 1.0 0.0 1.0 534.0 1.0 0.0
153.0 41.419 2120.0 184.0 4.0 24.0 11.0 1.0 1.0 0.0 156.0 1.0 0.0
